id,nome,cor1,cor2
0,ball,(7:138:75#11:255:160),(109:182:68#117:255:142)
1,gondinha,(7:138:75#11:255:160),(109:182:68#117:255:142)
2,chucknorris,(7:138:75#11:255:160),(109:182:68#117:255:142)
3,neymar,(62:150:139#69:255:145),(86:170:42#115:255:173)
